epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,678.332,0.89482,0.55396,1.0066,0.89583,1,0.98917,0.69263,1.19487,0.66359,1.23781,0.000699312,0.000699312,0.000699312
91,684.943,0.89289,0.5631,1.04216,0.90789,1,0.98917,0.72262,1.23673,0.60395,1.28783,0.000693125,0.000693125,0.000693125
92,691.94,0.90243,0.5608,1.03082,0.9398,1,0.995,0.73018,1.19687,0.59892,1.23497,0.000686937,0.000686937,0.000686937
93,698.551,0.88083,0.52477,1.04488,0.96927,1,0.995,0.72202,1.17042,0.59941,1.21128,0.00068075,0.00068075,0.00068075
94,705.948,0.88682,0.54609,1.06652,0.9762,0.98346,0.995,0.73117,1.14752,0.58527,1.19279,0.000674562,0.000674562,0.000674562
95,712.663,0.86341,0.52314,1.01394,0.94964,0.95238,0.98917,0.72184,1.19306,0.60181,1.25424,0.000668375,0.000668375,0.000668375
96,719.321,0.85544,0.52767,1.0118,0.94109,1,0.995,0.69259,1.26191,0.57115,1.29306,0.000662188,0.000662188,0.000662188
97,726.363,0.94565,0.58162,1.0748,0.91122,0.96375,0.995,0.67385,1.29666,0.6081,1.31086,0.000656,0.000656,0.000656
98,733.889,0.88765,0.56174,1.04912,0.90445,0.976,0.995,0.6842,1.29546,0.57009,1.33832,0.000649813,0.000649813,0.000649813
99,741.404,0.82929,0.46282,0.98101,0.94773,0.99066,0.995,0.7364,1.1595,0.52852,1.22351,0.000643625,0.000643625,0.000643625
100,747.979,0.8896,0.52364,1.0531,0.93877,0.99386,0.995,0.73451,1.07146,0.52241,1.16957,0.000637437,0.000637437,0.000637437
101,755.488,0.83498,0.47599,0.97067,0.8741,1,0.98917,0.73079,1.12573,0.56212,1.16195,0.00063125,0.00063125,0.00063125
102,762.199,0.88425,0.49535,1.04428,0.86311,1,0.98333,0.72576,1.16708,0.60048,1.19289,0.000625062,0.000625062,0.000625062
103,769.444,0.85225,0.50216,0.99629,0.96742,0.94874,0.98917,0.68639,1.12821,0.56459,1.17089,0.000618875,0.000618875,0.000618875
